ArtID;NavnDansk;LatArt
7324;stiv seglmos;Drepanocladus sendtneri
7325;nedsænket seglmos;Drepanocladus stagnatus
7326;lamelmosslægten;Dryptodon
7327;våd lamelmos;Dryptodon patens
7328;klokkehætteslægten;Encalypta
7329;rødstribet klokkehætte;Encalypta rhabtocarpa
7330;stor klokkehætte;Encalypta streptocarpa
7331;priktandet klokkehætte;Encalypta trachymitria
7332;almindelig klokkehætte;Encalypta vulgaris
7333;klokkehættefamilien;Encalyptaceae
7334;kridtmosslægten;Entodon
7335;silket kridtmos;Entodon concinnus
7336;kridtmosfamilien;Entodontaceae
7337;skjultandslægten;Entosthodon
7338;knippe-skjultand;Entosthodon fascicularis
7339;butbladet skjultand;Entosthodon obtusus
7340;døgnmosfamilien;Ephemeraceae
7341;døgnmosslægten;Ephemerum
7342;takket døgnmos;Ephemerum serratum
7343;gaffelmosslægten;Eucladium
7344;kransbladet gaffelmos;Eucladium verticillatum
7345;næbmosslægten;Eurhynchium
7346;stor næbmos;Eurhynchium angustirete
7347;fin næbmos;Eurhynchium pulchellum
7348;stribet næbmos;Eurhynchium striatum
7349;rademosslægten;Fissidens
7350;kær-rademos;Fissidens adianthoides
7351;top-rademos;Fissidens bryoides
7352;klippe-rademos;Fissidens cristatus
7353;tør rademos;Fissidens dubius
7354;ler-rademos;Fissidens exilis
7355;finbladet rademos;Fissidens gracilifolius
7356;tørve-rademos;Fissidens osmundoides
7357;bæk-rademos;Fissidens pusillus
7358;taksbladet rademos;Fissidens taxifolius
7359;grønlig rademos;Fissidens viridulus
7360;rademosfamilien;Fissidentaceae
7361;kildemosfamilien;Fontinalaceae
7362;kildemosslægten;Fontinalis
7363;almindelig kildemos;Fontinalis antipyretica
7364;smal kildemos;Fontinalis dalecarlica
7365;bund-kildemos;Fontinalis hypnoides
7366;snobørsteslægten;Funaria
7367;almindelig snobørste;Funaria hygrometrica
7368;snobørstefamilien;Funariaceae
7369;gråmosslægten;Grimmia
7370;tandet gråmos;Grimmia decipiens
7371;hartmans gråmos;Grimmia hartmanii
7372;ø-gråmos;Grimmia laevigata
7373;butbladet gråmos;Grimmia longirostris
7374;;Grimmia ovalis
7375;pude gråudemos;Grimmia pulvinata
7376;glathåret gråmos;Grimmia trichophylla
7377;gråmosfamilien;Grimmiaceae
7378;nøgenmundslægten;Gymnostomum
7379;spanskgrøn nøgenmund;Gymnostomum aeruginosum
7380;hindemosslægten;Gyroweisia
7381;butbladet hindemos;Gyroweisia tenuis
7382;krogmosslægten;Hamatocaulis
7383;blank seglmos;Hamatocaulis vernicosus
7384;hedwigiaslægten;Hedwigia
7385;hvidspidset hedwigia;Hedwigia ciliata
7386;stjernebladet hedwigia;Hedwigia stellata
7387;hedwigiafamilien;Hedwigiaceae
7388;gyldenmosslægten;Helodium
7389;kær-gyldenmos;Helodium blandowii
7390;;Hennediella
7391;salt-bægermos;Hennediella heimii
7392;pølsekapselslægten;Herzogiella
7393;stub-pølsekapsel;Herzogiella seligeri
7394;tæt pølsekapsel;Herzogiella striatella
7395;forskelliggrenslægten;Heterocladium
7396;mat forskelliggren;Heterocladium heteropterum
7397;tungemosslægten;Homalia
7398;skov-tungemos;Homalia trichomanoides
7399;silkemosslægten;Homalothecium
7400;krybende silkemos;Homalothecium sericeum
7401;skyggemosslægten;Homomallium
7402;krum skyggemos;Homomallium incurvatum
7403;dronningemosslægten;Hookeria
7404;skinnende dronningemos;Hookeria lucens
7405;dronningemosfamilien;Hookeriaceae
7406;vandkrybmos;Hygroamblystegium
7407;skebladet vandkrybmos;Hygroamblystegium fluviatile
7408;stiv vandkrybmos;Hygroamblystegium tenax
7409;møllemosslægten;Hygrohypnum
7410;krum møllemos;Hygrohypnum luridum
7411;etagemosslægten;Hylocomium
7412;åben etagemos;Hylocomium brevirostre
7413;almindelig etagemos;Hylocomium splendens
7414;hindemundslægten;Hymenostomum
7415;tykvægget hindemund;Hymenostomum microstomum
7416;udspærret hindemond;Hymenostomum squarrosum
7417;cypresmosfamilien;Hypnaceae
7418;cypresmosslægten;Hypnum
7419;vortet cypresmos;Hypnum andoi
7420;almindelig cypresmos;Hypnum cupressiforme
7421;sort cypresmos;Hypnum imponens
7422;hede-cypresmos;Hypnum jutlandicum
7423;ler-cypresmos;Hypnum lindbergii
